Unnamed: 0,text,date,score,mapped_label,predicted_label,predicted_score
164,"just submitted my first big nasa grant what a learning experience! i wrote a lot of grants in grad school, but this was so much more intense and so many moving parts. so glad to have the support to be able to develop this skill",2024-03-22T00:37:49.701Z,1,2,2,1
165,congratulations to the terrific intuitive machines and nasa teams!,2024-02-23T00:08:18.204Z,1,2,2,1
166,nasa explores a space engine that could use nuclear waste for propulsion youtu.be 16mq7q5797e,2024-02-09T01:42:34.845Z,1,2,2,1
167,"there s also the always fun thing when it gets into arguments of cost of stuff since one thing that gets ignored from a pure nasa standpoint is that hsf also covers a uh, lot more centers, so they have a lot more overhead to pay for the center tax",2024-02-26T03:53:59.268Z,-1,0,0,-1
168,we re 3 weeks out til the april 8 total solar eclipse across north america. several scientific projects are also underway to take advantage of the event. here s our post on nasa experiments planned for the april 8th total solar eclipse on,2024-03-22T14:44:47.714Z,1,2,2,1
169,"it s sad to hear about voyager the nasa space probe, not the starship starting to malfunction and apparently dying, but not unexpected when you think about it. this is 50 yr old tech that s been running nonstop for half a century. whomst among us still has perfectly functional 1960s 70s tech?",2024-02-24T17:58:52.893Z,-1,0,0,-1
170,"that s amazing! coincidentally, i made jemison s portrait for an art show about women in science and the show curator maia weinstock was the person who proposed the women of nasa lego kit.",2024-02-25T19:44:38.761Z,1,2,2,1
171,i worked down the street from a nasa facility at noon i d stand at the doorway to quiznos and bully those nerds for their launch money,2024-02-26T18:19:15.275Z,-1,0,0,-1
172,"tragically, it is not clear that the defense contractors can get to the moon for any amount of money. more than 200b has been spent on development of new us crewed space transport systems over past 40 years, but only dragon is flying. development cost to nasa was 2b.",2024-02-21T20:50:21.593Z,-1,0,0,-1
173,i don t have more info but nasa is proposing to slash the budget to minimal operations level,2024-03-13T05:46:50.001Z,-1,0,0,-1
174,a nasa group achievement award in 2016 was one of the subjects of the film hidden figures in 2016 where she was played by taraji p. henson . she was awarded the congressional gold medal by the united states congress in 2019 was inducted into the national women s hall of fame in 2021. 6 6,2024-02-03T13:24:33.492Z,1,2,2,1
175,"once in a lifetime cosmic explosion is likely this summer, nasa says. here s what to know. once in a lifetime cosmic explosion is likely this summer, nasa says. here s what to know.",2024-06-18T03:52:06+00:00,-1,0,0,-1
176,"washington, d.c. an american family is claiming more than 80,000 from nasa after a small piece of debris fell from space and smashed through the roof of their florida home, a law firm said friday. read tmt.news 1952653",2024-06-22T07:41:33.097Z,-1,0,0,-1
177,nasa cancels lunar rover after spending 450 million building it,2024-07-18T02:27:27.679Z,-1,0,0,-1
178,the astronomy picture of the day shells and arcs around star cw leonis via nasa,2024-07-25T19:30:38.312Z,1,2,1,0
179,growing plants in space isn t just a supply of food. it can also help astronauts cope with isolation credit nasa,2024-06-21T03:55:29.832Z,1,2,2,1
180,"the voyager space probes, now about 1 light day from earth, will carry ed stone s legacy for a long time. one study estimated that the golden record on voyager 2 could still be readable in 5 billion years. voyager.jpl.nasa.gov mission stat...",2024-06-11T21:56:42.656Z,1,2,2,1
181,"the fact that nasa can t get their astronauts and boeing s spaceships are garbage, so now nasa has to rely on elon musk. jfc",2024-06-28T00:28:44.436Z,-1,0,0,-1
182,rover in perse has now abraded the rock with pronounced veins to the left of the rock previously abraded. navcam left before sol 01210 july 16 13 26 lmst after sol 01211 july 17 13 31 lmst credits nasa jpl caltech martian observer,2024-07-17T14:06:28.504Z,0,1,1,0
183,"intel extends cpu warranties due to defects, apple tightens in app purchase controls in china, and nasa explores starliner crew return options.",2024-08-02T14:58:29.861Z,-1,0,0,-1
184,nasa acknowledges it cannot quantify risk of starliner propulsion issues ars technica,2024-08-17T07:15:46.000Z,-1,0,0,-1
185,nasa to give update on boeing starliner crew stuck in space.,2024-08-14T16:42:52.756Z,0,1,0,-1
186,bp technology could be used to drill on mars or moon after nasa deal bp hopes deal will help develop earth,2024-08-13T20:57:03+00:00,1,2,2,1
187,"nasa engineer garcía galán projected this message on the spacecraft s screen 245,000 miles 394,000 kilometers from earth during the first artemis mission hala madrid! kings of europe and of space. nasa engineer garcía galán projected this message on",2024-07-30T14:30:06+00:00,1,2,1,0
188,"sol 1234 right mastcam z camera, acquired at 15 26 55.260 local mean solar time , image credit nasa jpl caltech asu",2024-08-10T10:01:34.020722+00:00,0,1,1,0
189,"pop gov 25 big oil strikes nasa deal to get greedy hands on moon, mars jd vance makes violent threat against dems maga election official convicted of machine tampering goldman sachs makes shock election prediction new abortion ballot measures certified in mult. states",2024-08-14T13:17:16.539Z,-1,0,0,-1
190,nasa hidden figure dorothy j. vaughan narrated by octavia spencer,2024-08-05T17:57:55.165Z,0,1,1,0
191,"if in the martian, the ship was run by a company and not nasa we must bring mark watney home! sir, that s going to be very expensive and we have our quarterly investor call in a month. ... well, i m sure he can wait on mars a little longer.",2024-08-08T18:02:26.358Z,-1,0,0,-1
192,"nasa firms fire data for 11 august, 2024 map of ukraine incursion into russia and proximity to kurchatova nuke plant the regional capital of kursk nasa firms firms.modaps.eosdis.nasa.gov map 24hrs... google maps",2024-08-11T09:04:13.093Z,-1,0,1,0
193,boeing will be footing the bill whatever the eventual resolution is. the thing to remember about this though is it s not an emergency and nasa don t do bespoke in any other circumstance.,2024-08-14T22:12:14.679Z,-1,0,0,-1
194,"a pair of cubesats from nasa s pathfinder technology demonstrator, or ptd, series lifted off on spacex s transporter 11 rideshare mission at 11 56 a.m. pdt friday, august 16, from vandenburg space force base in california. cerebral overload.com ?p 114713",2024-08-21T05:32:00Z,0,1,1,0
195,the astronomy picture of the day ngc 7331 close up via nasa,2024-08-14T18:49:56.060Z,1,2,1,0
196,i m gonna write about nasa today instead what is even spacex,2024-08-12T22:03:19.136Z,0,1,0,-1
197,photographer josh dury took advantage of last weekend s perseid meteor shower to capture a stunning merged image of meteors raining down over stonehenge. nasa apod apod.nasa.gov apod ap24081...,2024-08-16T22:28:55.716Z,1,2,2,1
198,"love the historical pix in the bart system, featuring richard nixon declaring, it s just like nasa.",2024-08-11T19:32:39.165Z,1,2,2,1
199,wilmore and williams have been waiting to get home so long that i think is running the operation time.com 7011415 nasa...,2024-08-16T16:18:49.847Z,0,1,0,-1
200,"the nasa oig audit report on starliner is brutal, but it s just one brief look into the past two decades of hot mess that is boeing.",2024-08-11T08:07:22.141Z,-1,0,0,-1
